theta,load,ev,category,cost,scen,pricing,Renewable_Share,mean price,mean quantity,sd price,delta CS,delta EV charging cost,delta PS,delta total surplus,delta CS-highflexible customer,delta CS-midflexible customer,delta CS-inflexible customer,value of dynamic pricing
0.1,2007,2016,fossil,current,Optimistic,flat,4.06,76,1065,0,42.3,-42.9,-5.4,36.9,40.3,40.3,40.3,0
0.1,2007,2016,fossil,current,Optimistic,dynamic,3.99,70,1073,7,46.8,-48.2,-5.7,41.2,46.4,45.8,45.8,4.3
0.1,2007,2016,fossil,current,Moderate,flat,4.08,80,1060,0,38.6,-39,-1.7,36.9,37.1,37.1,37.1,0
0.1,2007,2016,fossil,current,Moderate,dynamic,4,65,1076,4,47.6,-50.3,-6.9,40.7,50.4,47.4,46.9,3.8
0.1,2007,2016,fossil,current,Pessimistic,flat,4.08,80,1060,0,39.1,-39.6,-2.3,36.9,37.2,37.2,37.2,0
0.1,2007,2016,fossil,current,Pessimistic,dynamic,NA,61,1083,2,50.7,-54.4,-12.1,38.5,54.1,50.1,49.2,1.6
0.1,2007,2016,fossil,future,Optimistic,flat,4.3,126,1003,0,0,0,0,0,0,0,0,0
0.1,2007,2016,fossil,future,Optimistic,dynamic,4.24,112,1014,6,11.7,-14.6,-9.3,2.4,11.4,11,11,2.4
0.1,2007,2016,fossil,future,Moderate,flat,4.3,126,1004,0,0,0,0,0,0,0,0,0
0.1,2007,2016,fossil,future,Moderate,dynamic,4.24,110,1018,4,12.2,-14.2,-10.1,2.1,12.8,12.2,12.2,2.1
0.1,2007,2016,fossil,future,Pessimistic,flat,4.3,126,1003,0,0,0,0,0,0,0,0,0
0.1,2007,2016,fossil,future,Pessimistic,dynamic,NA,109,1010,4,5.5,-17.5,-4.3,1.1,13.9,4.9,4,1.1
0.1,2007,2016,100% Renewable,current,Optimistic,flat,100,172,967,0,-35.9,45.4,0.3,-35.6,-35.8,-35.8,-35.8,0
0.1,2007,2016,100% Renewable,current,Optimistic,dynamic,NA,127,1067,87,-12.9,-12.7,-4.6,-17.6,5.1,-14.8,-24.9,18
0.1,2007,2016,100% Renewable,current,Moderate,flat,100,168,966,0,-36.2,45,0.6,-35.6,-32.7,-32.7,-32.7,0
0.1,2007,2016,100% Renewable,current,Moderate,dynamic,NA,132,1051,93,-21,-14.7,-2.3,-23.3,6.3,-16,-27.4,12.3
0.1,2007,2016,100% Renewable,current,Pessimistic,flat,100,172,971,0,-27.2,34.3,-8.9,-36.1,-35.4,-35.4,-35.4,0
0.1,2007,2016,100% Renewable,current,Pessimistic,dynamic,NA,136,1041,95,-26.6,-16.6,-0.7,-27.2,8.1,-17.1,-29.5,8.9
0.1,2007,2016,100% Renewable,future,Optimistic,flat,100,98,1033,0,23.1,-23.3,-26.3,-3.2,22.4,22.4,22.4,0
0.1,2007,2016,100% Renewable,future,Optimistic,dynamic,100,83,1158,75,34.7,-46.2,-26.8,7.9,44.2,31.6,27.5,11.1
0.1,2007,2016,100% Renewable,future,Moderate,flat,100,98,1033,0,22.7,-22.9,-25.9,-3.2,22.5,22.5,22.5,0
0.1,2007,2016,100% Renewable,future,Moderate,dynamic,100,88,1137,79,31.1,-46.4,-26.2,5,44.7,31.4,27.5,8.2
0.1,2007,2016,100% Renewable,future,Pessimistic,flat,100,98,1033,0,23.3,-23.5,-26.5,-3.2,22.7,22.7,22.7,0
0.1,2007,2016,100% Renewable,future,Pessimistic,dynamic,100,91,1122,81,29.6,-47.7,-26.6,3,45.7,31.5,27.6,6.2
0.1,2007,2016,unconst.,current,Optimistic,flat,4.09,83,1058,0,36.9,-36.3,0,36.9,34.8,34.8,34.8,0
0.1,2007,2016,unconst.,current,Optimistic,dynamic,4,69,1072,6,47.6,-49.1,-6.5,41.2,47.3,46.7,46.7,4.3
0.1,2007,2016,unconst.,current,Moderate,flat,4.07,73,1065,0,42.4,-32.3,-5.5,36.9,43,43,43,0
0.1,2007,2016,unconst.,current,Moderate,dynamic,4.01,66,1073,5,45.3,-50.5,-4.4,40.8,49.8,45.5,44.8,3.9
0.1,2007,2016,unconst.,current,Pessimistic,flat,4.09,81,1058,0,38,-36.5,-1.1,36.8,36.7,36.7,36.7,0
0.1,2007,2016,unconst.,current,Pessimistic,dynamic,NA,61,1085,2,51.9,-55.1,-13.4,38.4,54,51.6,51.3,1.6
0.1,2007,2016,unconst.,future,Optimistic,flat,78,91,1043,0,28.9,-26.3,-2.4,26.5,28.5,28.5,28.5,0
0.1,2007,2016,unconst.,future,Optimistic,dynamic,NA,72,1106,34,39.5,-48.8,-6.1,33.4,46.1,38.2,34.6,6.9
0.1,2007,2016,unconst.,future,Moderate,flat,78,94,1039,0,26.1,-25.9,0.3,26.4,25.9,25.9,25.9,0
0.1,2007,2016,unconst.,future,Moderate,dynamic,80,75,1092,35,36.1,-48.6,-4.8,31.3,46.7,36.9,33.3,4.9
0.1,2007,2016,unconst.,future,Pessimistic,flat,78,94,1038,0,26.9,-25.8,-0.4,26.4,26.1,26.1,26.1,0
0.1,2007,2016,unconst.,future,Pessimistic,dynamic,79,80,1082,40,34,-50.3,-4.4,29.6,47.3,36,32.2,3.2
0.1,2045,2016,fossil,current,Optimistic,flat,4.39,60,982,0,54,-54.2,-17.3,36.7,54.5,54.5,54.5,0
0.1,2045,2016,fossil,current,Optimistic,dynamic,4.3,50,1002,1,63.2,-61.8,-23.9,39.3,62.9,62.8,62.8,2.6
0.1,2045,2016,fossil,current,Moderate,flat,4.39,61,982,0,53.4,-57.4,-16.7,36.7,53,53,53,0
0.1,2045,2016,fossil,current,Moderate,dynamic,4.29,50,1004,1,63.1,-65.1,-23.9,39.2,63.4,63.3,63.2,2.5
0.1,2045,2016,fossil,current,Pessimistic,flat,4.51,77,955,0,38.8,-44.8,-2.8,36.1,39.8,39.8,39.8,0
0.1,2045,2016,fossil,current,Pessimistic,dynamic,4.35,49,990,1,56.7,-63.7,-18.2,38.5,63.9,56.7,55.8,2.4
0.1,2045,2016,fossil,future,Optimistic,flat,4.76,126,904,0,0,0,0,0,0,0,0,0
0.1,2045,2016,fossil,future,Optimistic,dynamic,4.7,120,911,12,7.1,-14.1,-4.7,2.5,5.2,4.7,4.7,2.5
0.1,2045,2016,fossil,future,Moderate,flat,4.76,126,904,0,0,0,0,0,0,0,0,0
0.1,2045,2016,fossil,future,Moderate,dynamic,4.69,109,917,3,11.5,-21.5,-9.5,2,13.3,11.4,11.2,2
0.1,2045,2016,fossil,future,Pessimistic,flat,4.76,126,904,0,0,0,0,0,0,0,0,0
0.1,2045,2016,fossil,future,Pessimistic,dynamic,4.74,111,908,5,3.4,-18.4,-2.4,1.1,12,3.4,2.5,1.1
0.1,2045,2016,100% Renewable,current,Optimistic,flat,100,164,876,0,-29.2,31.1,-7.1,-36.3,-29.6,-29.6,-29.6,0
0.1,2045,2016,100% Renewable,current,Optimistic,dynamic,100,126,961,86,-12.5,-14.2,-6.1,-18.6,5.7,-13.6,-23,17.7
0.1,2045,2016,100% Renewable,current,Moderate,flat,100,168,873,0,-32.6,34.6,-3.6,-36.2,-32.8,-32.8,-32.8,0
0.1,2045,2016,100% Renewable,current,Moderate,dynamic,100,129,946,90,-19,-20.7,-5,-24,7.9,-14.4,-25,12.2
0.1,2045,2016,100% Renewable,current,Pessimistic,flat,100,161,877,0,-29.3,23.6,-6.8,-36.1,-27.3,-27.3,-27.3,0
0.1,2045,2016,100% Renewable,current,Pessimistic,dynamic,100,134,936,95,-23.2,-19.9,-4.7,-27.9,10,-15.3,-26.4,8.2
0.1,2045,2016,100% Renewable,future,Optimistic,flat,100,98,931,0,22.9,-25.1,-29.6,-6.7,22.5,22.5,22.5,0
0.1,2045,2016,100% Renewable,future,Optimistic,dynamic,100,84,1043,74,34.2,-48.1,-29.8,4.4,44.4,31.4,27.2,11.1
0.1,2045,2016,100% Renewable,future,Moderate,flat,100,98,931,0,22.3,-28.2,-29,-6.7,22.6,22.6,22.6,0
0.1,2045,2016,100% Renewable,future,Moderate,dynamic,100,88,1022,77,30.6,-51.9,-29.3,1.4,45,31.4,27.4,8.1
0.1,2045,2016,100% Renewable,future,Pessimistic,flat,100,98,931,0,22.9,-25.1,-29.6,-6.7,22.6,22.6,22.6,0
0.1,2045,2016,100% Renewable,future,Pessimistic,dynamic,100,91,1008,80,29.2,-49.7,-29.9,-0.7,46,31.7,27.5,6
0.1,2045,2016,unconst.,current,Optimistic,flat,4.49,76,960,0,41.8,-29.5,-5.3,36.4,40.7,40.7,40.7,0
0.1,2045,2016,unconst.,current,Optimistic,dynamic,4.34,57,987,5,56.7,-59.3,-15.9,40.8,57.6,57.1,57.1,4.4
0.1,2045,2016,unconst.,current,Moderate,flat,4.39,61,982,0,53.5,-57.4,-16.8,36.7,53,53,53,0
0.1,2045,2016,unconst.,current,Moderate,dynamic,4.29,50,1003,1,62.9,-65.1,-23.8,39.2,63,63,63,2.5
0.1,2045,2016,unconst.,current,Pessimistic,flat,4.39,61,982,0,54.3,-54.4,-17.6,36.6,53.2,53.2,53.2,0
0.1,2045,2016,unconst.,current,Pessimistic,dynamic,4.34,49,993,1,57.8,-63.7,-19.5,38.3,63.9,58.1,57.4,1.7
0.1,2045,2016,unconst.,future,Optimistic,flat,75,93,937,0,26.1,-27.7,-0.4,25.6,26.8,26.8,26.8,0
0.1,2045,2016,unconst.,future,Optimistic,dynamic,NA,71,995,32,40.2,-50.7,-7.8,32.4,46.8,38.6,35.6,6.8
0.1,2045,2016,unconst.,future,Moderate,flat,75,93,936,0,25.9,-31.1,-0.2,25.7,26.5,26.5,26.5,0
0.1,2045,2016,unconst.,future,Moderate,dynamic,77,75,982,34,36.2,-54.1,-6,30.2,46.9,37.4,33.9,4.5
0.1,2045,2016,unconst.,future,Pessimistic,flat,75,93,936,0,26.4,-27.8,-0.7,25.6,26.4,26.4,26.4,0
0.1,2045,2016,unconst.,future,Pessimistic,dynamic,76,79,973,38,33.9,-51.7,-5.2,28.6,47.5,36,32.3,3
0.1,2007,half,fossil,current,Optimistic,flat,3.78,91,1043,0,32.7,-28.6,8.2,40.9,27.8,27.8,27.8,0
0.1,2007,half,fossil,current,Optimistic,dynamic,3.64,63,1085,4,57.7,-56.6,-12.2,45.5,50.9,50.9,50.9,4.6
0.1,2007,half,fossil,current,Moderate,flat,3.78,91,1043,0,32.3,-26.8,8.2,40.5,28.6,28.6,28.6,0
0.1,2007,half,fossil,current,Moderate,dynamic,3.64,63,1085,4,57,-54.7,-12,45,51.5,51.5,51.5,4.5
0.1,2007,half,fossil,current,Pessimistic,flat,3.78,91,1043,0,32.6,-27.1,8,40.7,28.3,28.3,28.3,0
0.1,2007,half,fossil,current,Pessimistic,dynamic,3.65,61,1084,0,56.4,-56.1,-12,44.4,53,50.4,50.2,3.7
0.1,2007,half,fossil,future,Optimistic,flat,3.9,125,1005,0,0,0,0,0,0,0,0,0
0.1,2007,half,fossil,future,Optimistic,dynamic,3.89,121,1007,11,4.4,-10.4,-0.6,3.9,2.3,2.3,2.3,3.9
0.1,2007,half,fossil,future,Moderate,flat,3.9,126,1004,0,0,0,0,0,0,0,0,0
0.1,2007,half,fossil,future,Moderate,dynamic,3.88,118,1012,11,7.3,-11.8,-3.6,3.7,6.2,6.1,6.1,3.7
0.1,2007,half,fossil,future,Pessimistic,flat,3.9,125,1004,0,0,0,0,0,0,0,0,0
0.1,2007,half,fossil,future,Pessimistic,dynamic,3.91,116,1004,10,0.4,-13.2,2.6,3,7.6,-1.3,-2,3
0.1,2007,half,100% Renewable,current,Optimistic,flat,100,171,967,0,-41.1,40.7,1.3,-39.8,-36.4,-36.4,-36.4,0
0.1,2007,half,100% Renewable,current,Optimistic,dynamic,100,128,1063,87,-12.2,-14.4,-3.9,-16.1,3.1,-16.1,-26,23.7
0.1,2007,half,100% Renewable,current,Moderate,flat,100,167,968,0,-39.9,41.7,0.5,-39.4,-32.1,-32.1,-32.1,0
0.1,2007,half,100% Renewable,current,Moderate,dynamic,100,133,1045,93,-20.8,-13.3,-0.7,-21.5,5.1,-17.7,-29,17.9
0.1,2007,half,100% Renewable,current,Pessimistic,flat,100,172,967,0,-39.1,39.6,-0.4,-39.5,-36.5,-36.5,-36.5,0
0.1,2007,half,100% Renewable,current,Pessimistic,dynamic,NA,133,1034,91,-22.2,-14.8,-3.9,-26.1,7.5,-16.1,-26.9,13.4
0.1,2007,half,100% Renewable,future,Optimistic,flat,100,98,1033,0,25.3,-29.5,-25.7,-0.4,21.4,21.4,21.4,0
0.1,2007,half,100% Renewable,future,Optimistic,dynamic,100,84,1159,75,39,-51.3,-25.9,13.1,43.1,30.8,26.4,13.5
0.1,2007,half,100% Renewable,future,Moderate,flat,100,98,1033,0,25,-27.9,-25.4,-0.4,22.2,22.2,22.2,0
0.1,2007,half,100% Renewable,future,Moderate,dynamic,100,89,1140,79,35.2,-49.6,-25.2,10,44.1,31,26.8,10.4
0.1,2007,half,100% Renewable,future,Pessimistic,flat,100,98,1033,0,25.3,-28.2,-25.7,-0.4,22,22,22,0
0.1,2007,half,100% Renewable,future,Pessimistic,dynamic,100,92,1127,82,33.5,-49.9,-25.5,8,44.6,31,26.6,8.4
0.1,2007,half,unconst.,current,Optimistic,flat,3.68,72,1072,0,49.6,-44.9,-8.7,41,43.3,43.3,43.3,0
0.1,2007,half,unconst.,current,Optimistic,dynamic,6.24,74,1067,7,47.9,-48.8,-1.2,46.7,41.8,41.8,41.8,5.7
0.1,2007,half,unconst.,current,Moderate,flat,4.15,89,1044,0,31,-22.7,9.5,40.5,30,30,30,0
0.1,2007,half,unconst.,current,Moderate,dynamic,5.73,73,1065,7,46,-47.3,0.2,46.1,43,41.2,41,5.6
0.1,2007,half,unconst.,current,Pessimistic,flat,3.68,70,1072,0,49.4,-43.4,-8.7,40.7,45.6,45.6,45.6,0
0.1,2007,half,unconst.,current,Pessimistic,dynamic,3.65,61,1083,0,55.9,-56.1,-11.5,44.4,53,50,49.7,3.7
0.1,2007,half,unconst.,future,Optimistic,flat,74,88,1046,0,34.4,-34.7,-4.4,30,30,30,30,0
0.1,2007,half,unconst.,future,Optimistic,dynamic,NA,72,1105,38,44.1,-53.7,-5.3,38.8,45.6,38.7,34.5,8.8
0.1,2007,half,unconst.,future,Moderate,flat,74,88,1046,0,33.9,-32.9,-4.2,29.7,30.8,30.8,30.8,0
0.1,2007,half,unconst.,future,Moderate,dynamic,81,76,1094,38,40.4,-51.8,-3.9,36.5,45.9,36.5,32.7,6.8
0.1,2007,half,unconst.,future,Pessimistic,flat,74,88,1046,0,34.4,-33.3,-4.6,29.8,30.6,30.6,30.6,0
0.1,2007,half,unconst.,future,Pessimistic,dynamic,81,80,1085,42,38.2,-52.2,-3.1,35.1,45.9,35.2,31.2,5.3
0.1,2045,half,fossil,current,Optimistic,flat,4.12,87,944,0,33.6,-41.8,8.1,41.7,30.9,30.9,30.9,0
0.1,2045,half,fossil,current,Optimistic,dynamic,3.99,62,980,2,58.9,-58.2,-12.6,46.3,51.8,51.8,51.8,4.6
0.1,2045,half,fossil,current,Moderate,flat,4.13,90,943,0,32.4,-23.2,8.5,40.9,29.6,29.6,29.6,0
0.1,2045,half,fossil,current,Moderate,dynamic,3.99,62,980,1,57.9,-56.2,-12.4,45.5,53.3,53.2,53.2,4.6
0.1,2045,half,fossil,current,Pessimistic,flat,4.12,87,945,0,36.1,-37.2,5.1,41.2,31.5,31.5,31.5,0
0.1,2045,half,fossil,current,Pessimistic,dynamic,4.01,61,972,0,54.1,-57.4,-8.8,45.3,53.1,48.2,47.8,4.1
0.1,2045,half,fossil,future,Optimistic,flat,4.27,124,906,0,0,0,0,0,0,0,0,0
0.1,2045,half,fossil,future,Optimistic,dynamic,4.31,131,900,3,-4.9,-2.7,8.4,3.4,-5.8,-5.8,-5.8,3.4
0.1,2045,half,fossil,future,Moderate,flat,4.28,127,903,0,0,0,0,0,0,0,0,0
0.1,2045,half,fossil,future,Moderate,dynamic,4.3,130,900,2,-4.5,-3,7.9,3.4,-2.8,-3.1,-3.1,3.4
0.1,2045,half,fossil,future,Pessimistic,flat,4.28,126,904,0,0,0,0,0,0,0,0,0
0.1,2045,half,fossil,future,Pessimistic,dynamic,4.25,107,912,0,8,-20.8,-5.5,2.6,14.8,6.3,5.4,2.6
0.1,2045,half,100% Renewable,current,Optimistic,flat,100,173,871,0,-38.9,36,-1.6,-40.5,-38.3,-38.3,-38.3,0
0.1,2045,half,100% Renewable,current,Optimistic,dynamic,100,128,959,86,-12.6,-15.5,-4.5,-17.1,3.1,-15.9,-25.7,23.4
0.1,2045,half,100% Renewable,current,Moderate,flat,100,172,870,0,-42,40.2,2.2,-39.8,-35.2,-35.2,-35.2,0
0.1,2045,half,100% Renewable,current,Moderate,dynamic,100,132,942,92,-19.6,-14.7,-2.4,-22,6.4,-15.6,-25.9,17.8
0.1,2045,half,100% Renewable,current,Pessimistic,flat,100,171,871,0,-37.1,33.8,-2.9,-40,-35,-35,-35,0
0.1,2045,half,100% Renewable,current,Pessimistic,dynamic,100,137,931,96,-24.8,-14.9,-1.3,-26.1,6.4,-17.8,-28.9,13.9
0.1,2045,half,100% Renewable,future,Optimistic,flat,100,98,931,0,25,-30,-28.6,-3.6,21.2,21.2,21.2,0
0.1,2045,half,100% Renewable,future,Optimistic,dynamic,100,84,1047,75,39.3,-52.9,-29.2,10.1,43.4,30.9,26.2,13.7
0.1,2045,half,100% Renewable,future,Moderate,flat,100,98,931,0,24.4,-28.5,-28,-3.6,23,23,23,0
0.1,2045,half,100% Renewable,future,Moderate,dynamic,100,89,1028,79,35.4,-50.9,-28.5,6.9,45.2,32.3,27.7,10.5
0.1,2045,half,100% Renewable,future,Pessimistic,flat,100,98,931,0,25.3,-29.1,-28.9,-3.6,22.4,22.4,22.4,0
0.1,2045,half,100% Renewable,future,Pessimistic,dynamic,100,92,1016,80,33.9,-51.5,-29,4.9,45.2,31.7,27,8.5
0.1,2045,half,unconst.,current,Optimistic,flat,5.39,88,943,0,34.8,-23.7,6.9,41.7,29.7,29.7,29.7,0
0.1,2045,half,unconst.,current,Optimistic,dynamic,3.99,62,980,2,58.9,-58.2,-12.6,46.3,51.8,51.8,51.8,4.6
0.1,2045,half,unconst.,current,Moderate,flat,5.23,83,948,0,35.4,-35.7,5.5,40.9,35.3,35.3,35.3,0
0.1,2045,half,unconst.,current,Moderate,dynamic,3.99,62,980,1,58,-56.3,-12.5,45.4,53.2,53.2,53.2,4.5
0.1,2045,half,unconst.,current,Pessimistic,flat,5.63,82,949,0,38.3,-37.7,2.9,41.2,35.9,35.9,35.9,0
0.1,2045,half,unconst.,current,Pessimistic,dynamic,4.02,61,972,0,53.4,-57.4,-8,45.3,53.1,47.8,47.3,4.1
0.1,2045,half,unconst.,future,Optimistic,flat,73,87,944,0,35.4,-35.7,-6,29.4,30.6,30.6,30.6,0
0.1,2045,half,unconst.,future,Optimistic,dynamic,80,71,994,32,45.5,-55.3,-6.7,38.7,45.7,37.5,34.4,9.3
0.1,2045,half,unconst.,future,Moderate,flat,73,87,944,0,34.4,-34.3,-5.5,28.9,32.3,32.3,32.3,0
0.1,2045,half,unconst.,future,Moderate,dynamic,80,75,984,36,41.4,-53.4,-5.5,35.9,47.3,38.1,34.4,7
0.1,2045,half,unconst.,future,Pessimistic,flat,73,87,944,0,35.4,-34.7,-6.3,29.1,31.6,31.6,31.6,0
0.1,2045,half,unconst.,future,Pessimistic,dynamic,79,79,976,39,39.3,-54.4,-4.8,34.6,47.1,36.3,32.4,5.5
0.1,2007,full,fossil,current,Optimistic,flat,3.43,80,1057,0,42.8,-33.7,1.6,44.4,37.3,37.3,37.3,0
0.1,2007,full,fossil,current,Optimistic,dynamic,3.39,72,1071,7,54.6,-49.8,-4,50.7,43.3,43.3,43.3,6.3
0.1,2007,full,fossil,current,Moderate,flat,3.43,79,1057,0,43.5,-33,0.8,44.4,37.9,37.9,37.9,0
0.1,2007,full,fossil,current,Moderate,dynamic,3.39,72,1072,6,54.2,-47.5,-3.6,50.6,43.7,43.7,43.7,6.2
0.1,2007,full,fossil,current,Pessimistic,flat,3.43,79,1057,0,42.8,-32.3,1.6,44.3,38,38,38,0
0.1,2007,full,fossil,current,Pessimistic,dynamic,3.39,68,1072,6,53.3,-48.9,-3.1,50.2,46.9,44.3,44,5.9
0.1,2007,full,fossil,future,Optimistic,flat,3.57,125,1004,0,0,0,0,0,0,0,0,0
0.1,2007,full,fossil,future,Optimistic,dynamic,3.55,118,1012,11,7.6,-11.7,-3,4.6,5.6,5.6,5.6,4.6
0.1,2007,full,fossil,future,Moderate,flat,3.57,125,1004,0,0,0,0,0,0,0,0,0
0.1,2007,full,fossil,future,Moderate,dynamic,3.55,117,1012,10,8.4,-10.8,-3.8,4.6,6.7,6.7,6.7,4.6
0.1,2007,full,fossil,future,Pessimistic,flat,3.57,125,1005,0,0,0,0,0,0,0,0,0
0.1,2007,full,fossil,future,Pessimistic,dynamic,NA,109,1021,4,15,-16.4,-10.7,4.3,12.9,12.6,12.6,4.3
0.1,2007,full,100% Renewable,current,Optimistic,flat,100,169,968,0,-39.5,33.7,-4.1,-43.6,-34.7,-34.7,-34.7,0
0.1,2007,full,100% Renewable,current,Optimistic,dynamic,NA,129,1061,88,-13.2,-12.2,-1.4,-14.6,3,-16.4,-26.3,29
0.1,2007,full,100% Renewable,current,Moderate,flat,100,170,967,0,-44.5,37.2,1,-43.5,-35.1,-35.1,-35.1,0
0.1,2007,full,100% Renewable,current,Moderate,dynamic,NA,134,1045,93,-20.8,-11.2,0.6,-20.3,4.2,-18.5,-29.7,23.2
0.1,2007,full,100% Renewable,current,Pessimistic,flat,100,169,968,0,-44.4,40.1,1,-43.5,-34,-34,-34,0
0.1,2007,full,100% Renewable,current,Pessimistic,dynamic,NA,135,1032,92,-24,-11.4,-0.5,-24.6,5.8,-17.4,-28.2,18.9
0.1,2007,full,100% Renewable,future,Optimistic,flat,100,101,1029,0,24,-25.9,-21.6,2.4,19.2,19.2,19.2,0
0.1,2007,full,100% Renewable,future,Optimistic,dynamic,100,84,1161,75,42.3,-49.3,-24.1,18.2,42.8,30.9,26.4,15.8
0.1,2007,full,100% Renewable,future,Moderate,flat,100,101,1029,0,24,-24.5,-21.6,2.4,19.4,19.4,19.4,0
0.1,2007,full,100% Renewable,future,Moderate,dynamic,100,90,1141,80,38.7,-47.8,-23.5,15.2,43.2,30.6,25.9,12.8
0.1,2007,full,100% Renewable,future,Pessimistic,flat,100,101,1029,0,23.1,-23.7,-20.7,2.4,19.4,19.4,19.4,0
0.1,2007,full,100% Renewable,future,Pessimistic,dynamic,100,93,1130,83,35.8,-47,-22.6,13.1,43.9,30.7,25.8,10.7
0.1,2007,full,unconst.,current,Optimistic,flat,3.51,87,1049,0,37.3,-29.9,7.1,44.3,30.9,30.9,30.9,0
0.1,2007,full,unconst.,current,Optimistic,dynamic,4.33,71,1073,6,51,-46.5,-0.3,50.7,44.4,44.4,44.4,6.4
